theta_arcmin,THIBOS_ONLY,THIBOS_PLUS_ARIAS,CIE_RAW
7.891380284919244925e-01,2.416430764822749421e+06,1.655074968173119938e+06,4.642212878201038693e+05
8.124355708552357669e-01,2.214367011615345720e+06,1.517203881109161768e+06,4.384712115497048944e+05
8.364209212579182262e-01,2.006337776222987566e+06,1.375262457328968216e+06,4.144063254449708620e+05
8.611143857001349877e-01,1.792166941073202062e+06,1.229130529208300170e+06,3.919212142052150448e+05
8.865368696714683860e-01,1.571673189114527311e+06,1.078684381441509817e+06,3.709147096748525510e+05
9.127098958495114545e-01,1.344669850313458359e+06,9.237966463041390525e+05,3.512899959910134203e+05
9.396556223209675540e-01,1.196694218697416596e+06,8.226204725129271392e+05,3.329546708699308801e+05
9.673968613406891404e-01,1.122120172239295207e+06,7.713303841267047683e+05,3.158207684303204878e+05
9.959570986445358542e-01,1.045344493184805382e+06,7.185260701375424396e+05,2.998047486676325207e+05
1.025360513332399970e+00,9.663021832360194530e+05,6.641628264076870400e+05,2.848274583652769215e+05
1.055631998338236510e+00,8.849263251650545280e+05,6.081946290093018906e+05,2.708140678712325753e+05
1.086797181504420173e+00,8.100004911653177114e+05,5.567495125081887236e+05,2.576939877925199398e+05
1.118882447278284342e+00,7.629596819180042949e+05,5.247810788631757023e+05,2.454007692757636833e+05
1.151914959049193055e+00,7.145300975683960132e+05,4.918688484294607770e+05,2.338719911577905004e+05
1.185922682145071017e+00,6.646707376253106631e+05,4.579849577093118569e+05,2.230491368926664582e+05
1.220934407507852981e+00,6.133393911493984051e+05,4.231007205972963711e+05,2.128774637962950219e+05
1.256979776067898458e+00,5.537734405992837856e+05,3.825822680611357791e+05,2.033058668009790708e+05
1.294089303838003913e+00,4.886208934883124894e+05,3.382444130732777412e+05,1.942867385835686582e+05
1.332294407748266796e+00,4.215448625613395125e+05,2.925975816863832297e+05,1.857758276245139132e+05
1.371627432243658351e+00,3.524885612435579533e+05,2.456031292882199050e+05,1.777320954731846577e+05
1.412121676666836079e+00,3.059155144644699176e+05,2.133294291424798721e+05,1.701175742385223566e+05
1.453811423449369755e+00,2.750983660118608386e+05,1.913559501838948636e+05,1.628972250943185063e+05
1.496731967135250585e+00,2.433714099011886283e+05,1.687337532084059203e+05,1.560387983856812643e+05
1.540919644261258714e+00,2.107077860880868393e+05,1.454436862616841390e+05,1.495126957477164979e+05
1.586411864119476656e+00,1.977741537369893049e+05,1.367379786993031739e+05,1.432918344990468177e+05
1.633247140428000455e+00,1.850851931834295392e+05,1.282376039783438027e+05,1.373515144511453982e+05
1.681465123936658257e+00,1.720216193361625483e+05,1.194862746296572004e+05,1.316692871789569617e+05
1.731106635995338872e+00,1.596381173101012246e+05,1.111678504738281772e+05,1.262248277280272450e+05
1.782213703113348702e+00,1.473630289588465821e+05,1.029112974611464015e+05,1.209998086871521227e+05
1.834829592539062748e+00,1.347255459686930699e+05,9.441098811352349003e+04,1.159777765318838792e+05
1.888998848889979154e+00,1.203934955530982843e+05,8.480804689744570351e+04,1.111440301412245462e+05
1.944767331864198034e+00,1.050764158654953935e+05,7.455945548023351876e+04,1.064855014052778133e+05
2.002182255065246608e+00,8.930713352129732084e+04,6.400829723176218249e+04,1.019906378729503049e+05
2.061292225973117898e+00,8.556229789563937811e+04,6.176609285761033971e+04,9.764928743308332923e+04
2.122147287095374146e+00,8.232301533619369729e+04,5.988292507842500345e+04,9.345258507646282669e+04
2.184798958333134866e+00,7.735938840954242914e+04,5.690667330739329918e+04,8.939284184657332662e+04
2.249300280597831048e+00,6.983705329122586409e+04,5.230600578428247536e+04,8.546343615017189586e+04
2.315705860715647102e+00,6.224200283715409023e+04,4.770919412744297733e+04,8.165870766116942104e+04
2.384071917657666351e+00,5.856475932184714475e+04,4.685014434330652875e+04,7.797385410942905582e+04
2.454456330134854092e+00,5.477895338338369038e+04,4.596573302796070493e+04,7.440483129665370507e+04
2.526918685598185110e+00,4.893754648566708056e+04,4.270251202658286638e+04,7.094825672164192656e+04
2.601520330685384241e+00,4.248229025035636732e+04,3.880871389660105342e+04,6.760131722443344188e+04
2.678324423156994705e+00,3.981663915520631417e+04,3.757557220710382535e+04,6.436168107143431553e+04
2.757395985365747038e+00,3.853975134726839315e+04,3.732937030829481228e+04,6.122741490039361815e+04
2.838801959304489309e+00,3.453580130984428251e+04,3.503585583209418837e+04,5.819690592471710261e+04
2.922611263279280891e+00,2.959375694114616635e+04,3.205269745561226591e+04,5.526878976142923784e+04
3.008894850255645181e+00,2.902036891204508356e+04,3.151126569622851093e+04,5.244188419723709376e+04
3.097725767927352880e+00,2.816683075628146617e+04,3.106839856597352627e+04,4.971512914438799635e+04
3.189179220558608030e+00,2.311774436149756366e+04,2.980936974665025264e+04,4.708753296467455948e+04
3.283332632651987826e+00,2.017673493813753157e+04,2.914306493024196971e+04,4.455812525881089095e+04
3.380265714496027751e+00,1.972281746433404260e+04,2.917538555774849010e+04,4.212591613252962270e+04
3.480060529647970302e+00,1.724250485751172528e+04,2.733921046758208468e+04,3.978986186331538192e+04
3.582801564408773842e+00,1.508907133776021146e+04,2.591258823420331100e+04,3.754883680583705427e+04
3.688575799349227857e+00,1.422560245766309708e+04,2.587911930615387610e+04,3.540161129281399917e+04
3.797472782947709291e+00,1.258797314976303096e+04,2.381119767779043832e+04,3.334683521388002555e+04
