# DIGITIZED_EXTERNAL_VALIDATION; Ginis et al. 2012 J Vis 12(3):20; y = Log(PSF) as printed (log10 of PSF in sr^-1, see README)
curve,theta_deg,log10_psf
GP,3.1979,0.3539
GP,3.2016,0.3539
GP,3.2053,0.3512
GP,3.2090,0.3512
GP,3.2127,0.3512
GP,3.2164,0.3459
GP,3.2201,0.3432
GP,3.2238,0.3432
GP,3.2275,0.3432
GP,3.2312,0.3432
GP,3.2349,0.3432
GP,3.2386,0.3379
GP,3.2423,0.3379
GP,3.2460,0.3379
GP,3.2497,0.3379
GP,3.2534,0.3379
GP,3.2571,0.3352
GP,3.2608,0.3352
GP,3.2645,0.3326
GP,3.2682,0.3326
GP,3.2719,0.3326
GP,3.2756,0.3299
GP,3.2793,0.3299
GP,3.2829,0.3272
GP,3.2866,0.3246
GP,3.2903,0.3246
GP,3.2940,0.3246
GP,3.2977,0.3246
GP,3.3014,0.3246
GP,3.3051,0.3192
GP,3.3088,0.3192
GP,3.3125,0.3192
GP,3.3162,0.3192
GP,3.3199,0.3192
GP,3.3236,0.3166
GP,3.3273,0.3139
GP,3.3310,0.3139
GP,3.3347,0.3139
GP,3.3384,0.3139
GP,3.3421,0.3112
GP,3.3458,0.3086
GP,3.3495,0.3086
GP,3.3532,0.3086
GP,3.3569,0.3086
GP,3.3606,0.3086
GP,3.3643,0.3033
GP,3.3680,0.3033
GP,3.3717,0.3033
GP,3.3754,0.3033
GP,3.3791,0.3033
GP,3.3828,0.3006
GP,3.3865,0.2979
GP,3.3902,0.2979
GP,3.3939,0.2953
GP,3.3976,0.2953
GP,3.4013,0.2953
GP,3.4050,0.2953
GP,3.4087,0.2926
GP,3.4124,0.2899
GP,3.4160,0.2899
GP,3.4197,0.2899
GP,3.4234,0.2899
GP,3.4271,0.2899
GP,3.4308,0.2873
GP,3.4345,0.2873
GP,3.4382,0.2846
GP,3.4419,0.2846
GP,3.4456,0.2846
GP,3.4493,0.2819
GP,3.4530,0.2793
GP,3.4567,0.2793
GP,3.4604,0.2766
GP,3.4641,0.2766
GP,3.4678,0.2766
GP,3.4715,0.2739
GP,3.4752,0.2739
GP,3.4789,0.2739
GP,3.4826,0.2739
GP,3.4863,0.2713
GP,3.4900,0.2713
GP,3.4937,0.2686
GP,3.4974,0.2686
GP,3.5011,0.2686
GP,3.5048,0.2686
GP,3.5085,0.2686
GP,3.5122,0.2659
GP,3.5159,0.2633
GP,3.5196,0.2633
GP,3.5233,0.2633
GP,3.5270,0.2633
GP,3.5307,0.2606
GP,3.5344,0.2580
GP,3.5381,0.2580
GP,3.5418,0.2580
GP,3.5454,0.2553
GP,3.5491,0.2553
GP,3.5528,0.2553
GP,3.5565,0.2526
GP,3.5602,0.2526
GP,3.5639,0.2526
GP,3.5676,0.2526
GP,3.5713,0.2473
GP,3.5750,0.2446
GP,3.5787,0.2446
GP,3.5824,0.2446
GP,3.5861,0.2446
GP,3.5898,0.2446
GP,3.5935,0.2446
GP,3.5972,0.2420
GP,3.6009,0.2420
GP,3.6046,0.2420
GP,3.6083,0.2420
GP,3.6120,0.2420
GP,3.6157,0.2393
GP,3.6194,0.2393
GP,3.6231,0.2393
GP,3.6268,0.2366
GP,3.6305,0.2366
GP,3.6342,0.2340
GP,3.6379,0.2313
GP,3.6416,0.2313
GP,3.6453,0.2313
GP,3.6490,0.2313
GP,3.6527,0.2313
GP,3.6564,0.2313
GP,3.6601,0.2286
GP,3.6638,0.2260
GP,3.6675,0.2260
GP,3.6712,0.2260
GP,3.6749,0.2260
GP,3.6785,0.2207
GP,3.6822,0.2207
GP,3.6859,0.2207
GP,3.6896,0.2207
GP,3.6933,0.2180
GP,3.6970,0.2180
GP,3.7007,0.2153
GP,3.7044,0.2153
GP,3.7081,0.2153
GP,3.7118,0.2153
GP,3.7155,0.2153
GP,3.7192,0.2127
GP,3.7229,0.2127
GP,3.7266,0.2127
GP,3.7303,0.2127
GP,3.7340,0.2127
GP,3.7377,0.2127
GP,3.7414,0.2127
GP,3.7451,0.2100
GP,3.7488,0.2047
GP,3.7525,0.2047
GP,3.7562,0.2047
GP,3.7599,0.2047
GP,3.7636,0.2020
GP,3.7673,0.2020
GP,3.7710,0.1993
GP,3.7747,0.1993
GP,3.7784,0.1993
GP,3.7821,0.1993
GP,3.7858,0.1967
GP,3.7895,0.1940
GP,3.7932,0.1940
GP,3.7969,0.1940
GP,3.8006,0.1940
GP,3.8043,0.1940
GP,3.8080,0.1887
GP,3.8116,0.1887
GP,3.8153,0.1887
GP,3.8190,0.1887
GP,3.8227,0.1887
GP,3.8264,0.1860
GP,3.8301,0.1860
GP,3.8338,0.1860
GP,3.8375,0.1834
GP,3.8412,0.1834
GP,3.8449,0.1834
GP,3.8486,0.1834
GP,3.8523,0.1834
GP,3.8560,0.1807
GP,3.8597,0.1807
GP,3.8634,0.1807
GP,3.8671,0.1754
GP,3.8708,0.1727
GP,3.8745,0.1727
GP,3.8782,0.1727
GP,3.8819,0.1727
GP,3.8856,0.1727
GP,3.8893,0.1700
GP,3.8930,0.1700
GP,3.8967,0.1674
GP,3.9004,0.1674
GP,3.9041,0.1674
GP,3.9078,0.1674
GP,3.9115,0.1647
